Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Tax 1 Name,Tax 1 Type,Tax 1 Value,Tax 2 Name,Tax 2 Type,Tax 2 Value,Tax 3 Name,Tax 3 Type,Tax 3 Value,Cost per item,Product Category,Cost Price
B000052XFC,"Refresh Plus Lubricant Eye Drops, Preservative-Free, 0.01 Fl Oz Single-Use Containers, 50 Count, Packaging May Vary","<p>Sterile, single-use containers. Immediate, long-lasting relief plus protection. For dryness & irritation. Preservative-free vials for sensitive eyes. Long lasting relief plus protection. Refresh Plus Lubricant Eye Drops provides immediate, long lasting relief plus protection from dryness and irritation. Refresh Plus does more than just soothe and relieve your eyes. It also protects against further irritation with its unique long-lasting lubricant, CMC. Refresh Plus Lubricant Eye Drops is a preservative-free to eliminate the potential irritation to your eyes caused by the preservatives found in some bottled eye drops. Safe to use as often as necessary, Refresh Plus provides 24-hour comfort for dry, irritated eyes. Many things can make your eyes feel dry, scratchy, burning, or uncomfortable. Air conditioners or heaters. Computer use. Reading. Some medications. Wind. Or a reduction in the amount of tears your body produces - tears which help to lubricate and nourish your eyes. Refresh Plus Lubricant Eyes Drops restores the moisture your eyes crave with a special formula that has some of the same healthy qualities as natural tears. Since Refresh Plus is preservative-free, it also avoids the potential irritation to your eyes caused by the preservatives found in bottled eye drops. So you can apply Refresh Plus Lubricant Eye Drops as often as necessary without the risk of preservative - induced irritation.</p><ul><li>Original strength, preservative-free formula</li><li>Relieves mild symptoms of eye dryness</li><li>Instantly moisturizes and lubricates</li><li>Designed to act like your own natural tears</li><li>Great for sensitive eyes</li><li>Value size. 50 on-the go, single-use vials</li><li>Can be used after LASIK or other eye surgeries. Follow your eye doctor's instructions if you are using REFRESH RELIEVA PF after an eye surgery (e.g., LASIK) to relieve dryness and discomfort.</li><li>The selling brand in preservative-free artificial tears. REFRESH Family of Products, Ipsos Healthcare, 2021 REFRESH ECP Recommendation Survey.</li></ul>",Refresh,Dietary Supplement,,TRUE,,,,,,,B000052XFC,,,,,,31.98,,,,,https://m.media-amazon.com/images/I/51ljHQfoSeL.jpg,1,"Refresh Plus Lubricant Eye Drops, Preservative-Free, 0.01 Fl Oz Single-Use Containers, 50 Count, Packaging May Vary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health & Supplements,15.99
B000052XFC,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/415m9VAdIJL.jpg,2,"Refresh Plus Lubricant Eye Drops, Preservative-Free, 0.01 Fl Oz Single-Use Containers, 50 Count, Packaging May Vary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B000052XFC,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71FSAm4dTdL.jpg,3,"Refresh Plus Lubricant Eye Drops, Preservative-Free, 0.01 Fl Oz Single-Use Containers, 50 Count, Packaging May Vary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B000052XFC,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/415mCLPdUNL.jpg,4,"Refresh Plus Lubricant Eye Drops, Preservative-Free, 0.01 Fl Oz Single-Use Containers, 50 Count, Packaging May Vary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B000052XFC,,,,,,,,,,,,,,,,,,,,,,,,"https://m.media-amazon.com/images/I/51RdnSvxftL.SS40_BG85,85,85_BR-120_PKdp-play-icon-overlay__.jpg.jpg",5,"Refresh Plus Lubricant Eye Drops, Preservative-Free, 0.01 Fl Oz Single-Use Containers, 50 Count, Packaging May Vary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B000052XFC,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/51DIZN2gEaL.jpg,6,"Refresh Plus Lubricant Eye Drops, Preservative-Free, 0.01 Fl Oz Single-Use Containers, 50 Count, Packaging May Vary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B000052XFC,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/41zE9XrkRpL.jpg,7,"Refresh Plus Lubricant Eye Drops, Preservative-Free, 0.01 Fl Oz Single-Use Containers, 50 Count, Packaging May Vary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B000052XFC,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/41oNsIe8maL.jpg,8,"Refresh Plus Lubricant Eye Drops, Preservative-Free, 0.01 Fl Oz Single-Use Containers, 50 Count, Packaging May Vary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B000052Y5Q,"Metamucil 4-in-1 Psyllium Husk Fiber Supplement, Sugar-Free, 72 teaspoons, Orange Flavored, Daily Fiber Powder for Digestive Health, made with Plant-Based Psyllium Husk Fiber","<p>Metamucil is the only fiber leading brand^ made with psyllium husk fiber for 4 health benefits in 1 daily fiber supplement*. · Plant-Based Psyllium Husk Fiber · Sugar-Free (not a low calorie food) · Smooth-Texture for Easy Mixing · Orange Flavor · 2.4 Grams Soluble Fiber Per Serving *THESE STATEMENTS HAVE NOT BEEN EVALUATED BY THE FOOD AND DRUG ADMINISTRATION. THIS PRODUCT IS NOT INTENDED TO DIAGNOSE, TREAT, CURE, OR PREVENT ANY DISEASE. †Diets low in saturated fat and cholesterol that include 7 grams of soluble fiber per day from psyllium husk, as in Metamucil, may reduce the risk of heart disease by lowering cholesterol. One serving of Metamucil has 2.4 grams of this soluble fiber. ^Procter & Gamble calculation based in part on data reported by NielsenIQ through its ScanTrack Service for the Fiber Supplements (branded only) for the 52-weeks period ending, 6/01/24 for the Total U.S. Market xAOC, according to the NielsenIQ standard product hierarchy. Copyright © 2024, Nielsen Consumer LLC. **Survey of 291 adults who reported feeling lighter and more energetic after the Metamucil Two Week Challenge.</p><ul><li>4 HEALTH BENEFITS, 1 DAILY FIBER. Metamucil is the only leading fiber brand made with psyllium husk fiber</li><li>for 4-in-1 health benefits!</li><li>PSYLLIUM HUSK FIBER helps support: digestive health*, heart health by lowering cholesterol, healthy blood sugar levels*, and appetite control*</li><li>SUGAR-FREE AND DELICIOUS smooth textured fiber powder with a refreshing orange flavor.</li><li>FEEL WHAT LIGHTER FEELS LIKE. Metamucil psyllium husk fiber helps promote regularity* so you can feel lighter and more energetic**</li><li>1 IN 10 AMERICANS GET ENOUGH FIBER from diet alone. Help close your fiber gap by supplementing with Metamucil powders daily</li><li>#1 DOCTOR RECOMMENDED fiber brand. Trusted for over 90 years</li></ul>",Metamucil,Dietary Supplement,,TRUE,,,,,,,B000052Y5Q,,,,,,43.08,,,,,https://m.media-amazon.com/images/I/51WDagfLvaL.jpg,1,"Metamucil 4-in-1 Psyllium Husk Fiber Supplement, Sugar-Free, 72 teaspoons, Orange Flavored, Daily Fiber Powder for Digestive Health, made with Plant-Based Psyllium Husk Fiber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health & Supplements,21.54
B000052Y5Q,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71ibylo7wGL.jpg,2,"Metamucil 4-in-1 Psyllium Husk Fiber Supplement, Sugar-Free, 72 teaspoons, Orange Flavored, Daily Fiber Powder for Digestive Health, made with Plant-Based Psyllium Husk Fiber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
